frame,fm
0,6.188663
1,5.9935155
2,6.6244965
3,6.4595833
4,7.2057724
5,6.9579253
6,7.3105555
7,6.9896007
8,7.645955
9,7.427561
10,7.876658
11,7.4375954
12,7.985217
13,7.535356
14,8.035156
15,7.608212
16,8.166762
17,7.7226734
18,8.170356
19,7.8104687
20,8.150573
21,7.861215
22,8.225955
23,7.678021
24,8.251623
25,7.7531595
26,8.416094
27,7.872856
28,8.478655
29,7.977743
30,8.516215
31,8.437639
32,7.72171
33,8.237031
34,8.139175
35,8.508056
36,8.232803
37,8.707378
38,8.662865
39,9.004696
40,8.76546
41,9.309366
42,9.071276
43,9.657665
44,9.23579
45,10.002317
46,9.568307
47,10.3223095
48,9.786085
49,10.810156
50,10.550642
51,11.482873
52,11.675252
53,13.027031
54,12.00934
55,14.072526
56,13.106728
57,14.930339
58,14.683325
59,16.982101
60,18.48158
61,18.509037
62,20.072256
63,19.592752
64,21.503975
65,20.755087
66,22.536242
67,21.498636
68,22.838776
69,21.555695
70,22.853802
71,21.777544
72,22.825434
73,21.200443
74,22.528593
75,21.20677
76,22.35552
77,21.357578
78,22.453438
79,21.3627
80,22.46257
81,21.56717
82,22.82539
83,22.193829
84,23.487118
85,22.695026
86,24.177795
87,23.302057
88,24.717968
89,23.208212
90,25.098072
91,25.309479
92,22.910166
93,24.914053
94,23.11908
95,24.448082
96,22.90454
97,24.637127
98,22.944775
99,24.635374
100,23.17447
101,24.701876
102,23.038498
103,24.682482
104,22.805243
105,24.221918
106,22.608862
107,24.160225
108,23.040216
109,24.890825
110,23.557926
111,24.990955
112,23.353802
113,25.021345
114,21.509844
115,23.03848
116,20.142622
117,22.412891
118,20.587543
119,22.95677
120,22.086805
121,19.46889
122,20.527517
123,16.4817
124,17.09651
125,13.742405
126,14.373055
127,12.112318
128,12.628568
129,11.191459
130,11.73461
131,10.545478
132,10.999141
133,9.925148
134,10.458776
135,9.471788
136,10.09329
137,9.030113
138,9.678724
139,8.893516
140,9.4632635
141,8.815234
142,9.260816
143,8.494314
144,9.008576
145,8.368246
146,8.769254
147,8.137214
148,8.578516
149,8.139228
150,8.409418
151,8.519835
152,7.7974825
153,7.9685416
154,7.683689
155,7.9454165
156,7.654297
157,7.820165
158,7.7395053
159,7.80566
160,7.6441493
161,7.940877
162,7.785512
163,8.0977
164,7.947856
165,8.341458
166,8.040174
167,8.539071
168,7.98474
169,8.523984
170,8.570807
