frame,fm
0,1.75
1,1.6006944
2,1.9618056
3,1.8506944
4,1.8611112
5,1.5833334
6,1.9201388
7,1.8263888
8,1.9895834
9,2.0034723
10,2.1076388
11,1.7881944
12,1.96875
13,1.8472222
14,1.9965278
15,1.7256944
16,1.9895834
17,1.9270834
18,1.9444444
19,1.8472222
20,1.9722222
21,1.8923612
22,1.9270834
23,1.9583334
24,2.2152777
25,1.8194444
26,2.2083333
27,2.0590277
28,2.1944444
29,1.9305556
30,2.3020833
31,1.96875
32,1.8645834
33,1.9131944
34,2.1180556
35,2.2222223
36,2.1076388
37,2.3194444
38,2.0104167
39,2.2118056
40,2.0729167
41,2.25
42,2.1909723
43,2.3993056
44,2.4340277
45,2.6180556
46,2.3368056
47,2.7465277
48,2.5902777
49,2.8368056
50,2.7048612
51,2.9756944
52,2.7152777
53,3.1493056
54,2.8888888
55,3.375
56,3.4618056
57,3.71875
58,3.3680556
59,3.8194444
60,3.6701388
61,3.4479167
62,3.8194444
63,3.4375
64,3.7638888
65,3.9826388
66,4.4652777
67,4.2847223
68,4.6840277
69,4.7743053
70,5.1840277
71,5.2465277
72,5.5902777
73,5.888889
74,6.295139
75,6.767361
76,7.1909723
77,7.6458335
78,8.385417
79,9.065972
80,9.798611
81,10.722222
82,12.152778
83,13.270833
84,14.197917
85,15.930555
86,17.371529
87,19.159721
88,20.041666
89,20.590279
90,21.194445
91,23.17014
92,21.729166
93,23.23264
94,22.350695
95,23.305555
96,22.711805
97,22.996529
98,21.815971
99,22.368055
100,20.868055
101,21.885416
102,20.01736
103,20.54861
104,19.524305
105,20.34375
106,18.430555
107,17.538195
108,15.809028
109,16.95139
110,16.309029
111,17.84375
112,17.503471
113,17.131945
114,14.364583
115,13.097222
116,10.045139
117,9.517361
118,7.3194447
119,7.4097223
120,6.53125
121,5.3229165
122,5.5069447
123,4.486111
124,4.8506947
125,3.9340277
126,4.2708335
127,3.3645833
128,4.013889
129,3.2569444
130,3.4340277
131,2.9895833
132,3.3055556
133,2.65625
134,3.0972223
135,2.5347223
136,2.875
137,2.3229167
138,2.71875
139,2.6493056
140,2.71875
141,2.3784723
142,2.7083333
143,2.4444444
144,2.59375
145,2.3923612
146,2.7430556
147,2.1423612
148,2.5451388
149,2.03125
150,1.9618056
151,2.0
152,1.7465278
153,2.0277777
154,1.7395834
155,1.9513888
156,1.8125
157,2.2118056
158,1.8854166
159,2.3298612
160,2.1145833
161,2.3680556
162,1.8125
163,1.9548612
164,1.8645834
165,2.3298612
166,1.9548612
167,2.2986112
168,1.96875
169,2.09375
170,2.1493056
