frame,fm
0,2.656875
1,2.5769272
2,2.830408
3,2.7732465
4,3.0648699
5,2.96579
6,3.1062326
7,2.9690018
8,3.2469704
9,3.153724
10,3.3366666
11,3.1512153
12,3.3780382
13,3.204401
14,3.4057553
15,3.225486
16,3.4562066
17,3.2794445
18,3.46296
19,3.3060417
20,3.448368
21,3.337769
22,3.4824827
23,3.2691233
24,3.4923003
25,3.2905903
26,3.5672135
27,3.3398263
28,3.5902083
29,3.3825955
30,3.6121614
31,3.557283
32,3.269948
33,3.4809027
34,3.4395833
35,3.5952258
36,3.4866753
37,3.676198
38,3.654453
39,3.797257
40,3.703507
41,3.9165885
42,3.823533
43,4.0676126
44,3.9044445
45,4.2191405
46,4.042682
47,4.349384
48,4.1332116
49,4.5520053
50,4.452179
51,4.853481
52,4.927526
53,5.5106335
54,5.090851
55,5.977691
56,5.586363
57,6.379358
58,6.3052864
59,7.2780905
60,7.936259
61,7.9760504
62,8.63947
63,8.446866
64,9.258056
65,8.963411
66,9.717118
67,9.309089
68,9.88178
69,9.370442
70,9.927491
71,9.492162
72,9.947448
73,9.28533
74,9.8548355
75,9.316684
76,9.819705
77,9.428993
78,9.905668
79,9.476831
80,9.964566
81,9.616328
82,10.166545
83,9.938984
84,10.513602
85,10.221198
86,10.856015
87,10.5173435
88,11.12428
89,10.5038805
90,11.325721
91,11.448455
92,10.412951
93,11.295669
94,10.522786
95,11.1071615
96,10.442699
97,11.2190275
98,10.468194
99,11.1981945
100,10.555833
101,11.245486
102,10.513143
103,11.226736
104,10.410894
105,11.047882
106,10.336528
107,11.029549
108,10.550451
109,11.365434
110,10.785582
111,11.427127
112,10.648472
113,11.339063
114,9.708411
115,10.287717
116,8.955087
117,9.864783
118,9.0121
119,9.981849
120,9.547673
121,8.4340105
122,8.8657465
123,7.1273003
124,7.349549
125,5.9055815
126,6.1433854
127,5.1684203
128,5.374835
129,4.7603297
130,4.9787326
131,4.4668055
132,4.6490016
133,4.192309
134,4.4156337
135,4.002118
136,4.2588716
137,3.8171701
138,4.079913
139,3.7643576
140,3.9935763
141,3.7289062
142,3.9150348
143,3.6003385
144,3.7952256
145,3.5430207
146,3.7008507
147,3.439132
148,3.6252258
149,3.4468837
150,3.5603385
151,3.588698
152,3.2985244
153,3.3719444
154,3.2560155
155,3.3635156
156,3.2586546
157,3.3194096
158,3.2878993
159,3.3160763
160,3.2525694
161,3.3720486
162,3.31046
163,3.4355817
164,3.3702257
165,3.5362153
166,3.4080296
167,3.6089497
168,3.3881598
169,3.6046355
170,3.6291146
